 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC         SF    SF_Stat    SF_Syst   SF_Total
   1.600    2.100     30.0     40.0     0.9769     0.0001     0.0008     0.9905     0.0001     0.0002     0.9863     0.0002     0.0008     0.0008
   1.600    2.100     40.0     60.0     0.9754     0.0001     0.0008     0.9894     0.0001     0.0002     0.9859     0.0002     0.0008     0.0008
   1.600    2.100     60.0    100.0     0.9727     0.0005     0.0006     0.9868     0.0003     0.0006     0.9858     0.0005     0.0009     0.0010
   1.600    2.100    100.0    200.0     0.9642     0.0018     0.0012     0.9808     0.0009     0.0002     0.9830     0.0021     0.0012     0.0024
   2.100    2.400     10.0     15.0     0.9187     0.0022     0.0059     0.9456     0.0011     0.0023     0.9716     0.0026     0.0066     0.0071
   2.100    2.400     15.0     20.0     0.9269     0.0009     0.0036     0.9559     0.0008     0.0020     0.9697     0.0012     0.0043     0.0045
   2.100    2.400     20.0     25.0     0.9425     0.0008     0.0029     0.9651     0.0006     0.0017     0.9766     0.0010     0.0035     0.0036
   2.100    2.400     25.0     30.0     0.9439     0.0007     0.0023     0.9666     0.0004     0.0018     0.9765     0.0008     0.0030     0.0031
   2.100    2.400     30.0     40.0     0.9433     0.0003     0.0020     0.9673     0.0002     0.0012     0.9751     0.0004     0.0024     0.0024
   2.100    2.400     40.0     60.0     0.9432     0.0002     0.0019     0.9687     0.0002     0.0011     0.9737     0.0003     0.0023     0.0023
   2.100    2.400     60.0    100.0     0.9368     0.0012     0.0037     0.9622     0.0006     0.0032     0.9736     0.0014     0.0050     0.0051
   2.100    2.400    100.0    200.0     0.9291     0.0034     0.0024     0.9549     0.0022     0.0019     0.9729     0.0042     0.0031     0.0053
