 eta_low eta_high   pt_low  pt_high    effData   statData   systData      effMC     statMC     systMC
   0.200    0.300     15.0     20.0     0.7172     0.0039     0.0112     0.7206     0.0039     0.0122
   0.200    0.300     20.0     25.0     0.7911     0.0032     0.0117     0.7889     0.0025     0.0110
   0.200    0.300     25.0     30.0     0.8549     0.0019     0.0046     0.8531     0.0015     0.0051
   0.200    0.300     30.0     40.0     0.9271     0.0007     0.0011     0.9286     0.0006     0.0009
   0.200    0.300     40.0     60.0     0.9717     0.0003     0.0007     0.9714     0.0003     0.0004
   0.200    0.300     60.0    100.0     0.9846     0.0011     0.0005     0.9816     0.0008     0.0004
   0.200    0.300    100.0    200.0     0.9910     0.0035     0.0040     0.9861     0.0018     0.0011
   0.300    0.800     10.0     15.0     0.6672     0.0038     0.0082     0.6577     0.0028     0.0081
   0.300    0.800     15.0     20.0     0.7476     0.0023     0.0095     0.7315     0.0017     0.0101
   0.300    0.800     20.0     25.0     0.8009     0.0009     0.0107     0.7892     0.0011     0.0110
   0.300    0.800     25.0     30.0     0.8617     0.0008     0.0049     0.8507     0.0007     0.0053
   0.300    0.800     30.0     40.0     0.9333     0.0002     0.0008     0.9302     0.0002     0.0007
   0.300    0.800     40.0     60.0     0.9741     0.0002     0.0003     0.9734     0.0001     0.0003
   0.300    0.800     60.0    100.0     0.9845     0.0005     0.0003     0.9826     0.0003     0.0003
   0.300    0.800    100.0    200.0     0.9876     0.0013     0.0014     0.9840     0.0009     0.0006
   0.800    1.200     10.0     15.0     0.6877     0.0041     0.0069     0.6670     0.0029     0.0068
   0.800    1.200     15.0     20.0     0.7535     0.0019     0.0087     0.7354     0.0020     0.0093
   0.800    1.200     20.0     25.0     0.8078     0.0011     0.0115     0.7888     0.0013     0.0116
   0.800    1.200     25.0     30.0     0.8612     0.0007     0.0058     0.8474     0.0009     0.0060
   0.800    1.200     30.0     40.0     0.9332     0.0003     0.0008     0.9289     0.0003     0.0008
   0.800    1.200     40.0     60.0     0.9753     0.0002     0.0003     0.9739     0.0001     0.0004
   0.800    1.200     60.0    100.0     0.9842     0.0005     0.0004     0.9833     0.0004     0.0003
   0.800    1.200    100.0    200.0     0.9848     0.0015     0.0010     0.9850     0.0010     0.0005
   1.200    1.600     10.0     15.0     0.7251     0.0035     0.0072     0.7043     0.0028     0.0057
   1.200    1.600     15.0     20.0     0.7775     0.0025     0.0082     0.7650     0.0019     0.0079
   1.200    1.600     20.0     25.0     0.8279     0.0016     0.0097     0.8171     0.0013     0.0107
   1.200    1.600     25.0     30.0     0.8774     0.0010     0.0053     0.8666     0.0009     0.0062
   1.200    1.600     30.0     40.0     0.9389     0.0003     0.0006     0.9355     0.0003     0.0008
   1.200    1.600     40.0     60.0     0.9790     0.0001     0.0002     0.9782     0.0001     0.0002
   1.200    1.600     60.0    100.0     0.9874     0.0005     0.0004     0.9860     0.0004     0.0003
   1.200    1.600    100.0    200.0     0.9861     0.0014     0.0006     0.9853     0.0010     0.0007
   1.600    2.100     10.0     15.0     0.7584     0.0033     0.0032     0.7302     0.0024     0.0038
   1.600    2.100     15.0     20.0     0.8179     0.0020     0.0054     0.7930     0.0017     0.0069
   1.600    2.100     20.0     25.0     0.8672     0.0014     0.0081     0.8461     0.0012     0.0083
   1.600    2.100     25.0     30.0     0.9093     0.0008     0.0046     0.8917     0.0008     0.0048
   1.600    2.100     30.0     40.0     0.9572     0.0003     0.0008     0.9487     0.0003     0.0007
   1.600    2.100     40.0     60.0     0.9855     0.0001     0.0001     0.9827     0.0001     0.0002
   1.600    2.100     60.0    100.0     0.9901     0.0004     0.0004     0.9882     0.0003     0.0004
   1.600    2.100    100.0    200.0     0.9907     0.0014     0.0012     0.9873     0.0011     0.0005
   2.100    2.400     10.0     15.0     0.7416     0.0033     0.0060     0.7064     0.0033     0.0040
   2.100    2.400     15.0     20.0     0.8131     0.0029     0.0042     0.7794     0.0024     0.0049
   2.100    2.400     20.0     25.0     0.8585     0.0013     0.0052     0.8352     0.0016     0.0062
   2.100    2.400     25.0     30.0     0.9049     0.0012     0.0035     0.8877     0.0010     0.0035
   2.100    2.400     30.0     40.0     0.9549     0.0004     0.0003     0.9462     0.0004     0.0006
   2.100    2.400     40.0     60.0     0.9831     0.0002     0.0002     0.9796     0.0002     0.0002
   2.100    2.400     60.0    100.0     0.9923     0.0007     0.0013     0.9887     0.0005     0.0002
   2.100    2.400    100.0    200.0     0.9985     0.0020     0.0044     0.9893     0.0016     0.0002
