Sample,GenWeight_Sum,N_Events,N_Files
VG,3109819400.0,34915878,32
Higgs,63281828.0,2946000,40
WW,32147096.0,2900000,7
Fakes,9740959000000.0,225680227,206
VZ,134985180.0,15551954,73
DYtoLL,82448510.0,82448537,61
ggWW,17662000.0,17662000,112
Top,11433399000.0,137367000,197
TOTAL,9755833000000.0,519471596,728
